comment,label
Shop phục vụ rất kém,NEG
"Tôi về vất đi rồi, chỉ đc quảng cáo hay thôi, đã thế lại còn đắt nữa chứ",NEG
Chất lượng sản phẩm rất kém Đóng gói sản phẩm rất kém Đóng gói sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền Rất không đáng tiền,NEG
Bề ngang áo chật,NEG
Và hẳn đây là tai mèo,NEG
Chuẩn bị hàng lâu,NEG
Áo hơi mỏng không giống chất liệu len,NEG
Giao hàng chậm,NEG
Mặc êm nhưng mặc 34 lấy size s hơi chật,NEG
"Bung chỉ, vải tạm",NEG
Đúng là tiền nào của đấy thôi,NEG
Mặc bị tụt k ôm bụng,NEG
Mà rộng quá k mặc vừa,NEG
Miếng lót màu trắng mà giống không,NEG
Nếu đã giảm giá thì phải có note tả hình trung thực chứ nhỉ,NEG
Chat vai k dẹp,NEG
Ko ra gì,NEG
Rộng wa,NEG
Hộp bằng sắt,NEG
"Vải áo đen nóng không cùng loại với vải áo trắng, chữ in cũng xấu hơn",NEG
GÓI hàng cẩn thận hơn nhé ==,NEG
"Shop nên cho chọn size,vì đặt mua xog thì shop đưa size nhỏ nên không vừa",NEG
Tìm hết cái áo cũng k thấy chỗ nào ghi size,NEG
"Son mau trôi, chất lựowng ko tốt",NEG
Quàn hơi mỏng hợp với giá,NEG
"Đặt màu đỏ lại gửi màu bã trầu, mua 2 bộ gọi đt chỉ nói 1 bộ hết màu, nhận hàng thấy sai màu có lhe vs shop nhưng shop chỉ xin lỗi, chứ ko thấy đề đạc đôi hành cho khách",NEG
Mở ra nhăn nhó ..tiền nao of nấy,NEG
Chất vải qa xấu mỏng,NEG
Cái áo trong hình thì dài:))mà giao như áo nửa lưng:))thất vọng:)))))Ae đừng mua nhé:)))Buôn bán cho đàng hoàng vào:))Shop bán như QUẦN:))),NEG
Đat mua mau đen ma lai gửi mau xam,NEG
Form bé chất in xấu cực kì luôn,NEG
"Tả rất mỏng, ko đủ thấm",NEG
Nhưng xem kĩ thì đã bị rách ở cổ áo,NEG
Giao mẫu cộc tay,NEG
"Sp bị lỗi, hơi thất vọng",NEG
"Tôi k hài lòng chút nào, quá thất vọng",NEG
"Đường may xấu, chất tạm ổn",NEG
Chat lieu vai ko giog nhu trog hinh ko dep,NEG
Vỏ hộp thì sước hết,NEG
Cổ và tay nhỏ hơn hình mẫu,NEG
"Shop giao hàng sai mẫu, đặt 1 kiểu giao 1kieu, cài khuy trước",NEG
Đóng gói sản phẩm tạm được,NEG
Chất hơi dày nóng,NEG
Mình đang tìm cách sửa lại,NEG
Có ra 2 cái màu đỏ luôn,NEG
Đã ghi chú lấy màu hồng phấn nhưng khi nhận là màu gỗ,NEG
"Shop phục vụ tốt, áo đẹp, hướng dẫn tận tình",NEG
Shop phục vụ rất kém,NEG
"Shape tạm được, chất vải xấu",NEG
bạn cũng k thèm trả lời??,NEG
ko giống hình,NEG
Chất lượng kém mình vẫn nhận hàng và kh trả,NEG
"Áo không giống hình, kh xẻ vạt mà cổ lại cao ☺",NEG
Xấu thẩm tệ thậm tệ và ko đáng bằng đấy tiền m,NEG
Không hài lòng về hàng,NEG
Rộng.Vải khác những màu kia,NEG
Quần đặt size XL vẫn ko vừa dù mình chỉ 53kg,NEG
Chất nóng,NEG
Áo đẹp nhưng hơi ngắn và nhỏ hơn cái sọc đen trắng,NEG
Mở mãi mới đc nên hơi bực 😂,NEG
Thất vọng !!,NEG
Nhưng gửi sai size sản phẩm đẹp đóng gói ok,NEG
Xl.,NEG
Shop đã bán sale thì cũng bán cho đàng hoàng chứ,NEG
